CID,SMILES
4599680,CC1C(C2(C3CCCCC3(O1)OC2=N)C#N)(C#N)C#N
3158983,CC1CCC2=C(C1)SC=C2C(=O)NC3=CC=CC=C3OC
393333,C1=CC=C(C(=C1)C(=O)NNC(=O)C2=CC(=CC=C2)Br)O
1867755,COC1=CC=C(C=C1)OCC(=O)NC2=NN=C(S2)C3=CC=CO3
6493067,CCOC1=CC=C(C=C1)S(=O)(=O)NC(C)C(=O)NCC2=CC=CC=N2
5307185,CCOC(=O)CN1C2=C(C=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)F)OC1=O
2819314,CN1C2=CC=CC=C2C(=O)/C(=C\NC3=C(C=C(C=C3)F)F)/S1(=O)=O
3428809,CC1=NN=C2C1C(C(C(C2)(C)O)C(=O)C)C3=CC=C(C=C3)[N+](=O)[O-]
2971339,CC1=C(C=C(C=C1)C(C)NC(=O)C2=CC=NC=C2)C
7207258,C1=COC(=C1)C2=NN=C(C=C2)SCC3=CC=C(C=C3)Br
2730060,C1CCN(C1)C2=NN(N=N2)CC3=C(C=CC=C3Cl)Cl
2741630,CC(=O)NC1=CN=C(C=C1)N2CCN(CC2)C3=NC=C(C=C3)C(F)(F)F
877392,CC1=CC=C(C=C1)C(=O)NC2CC(NC(C2)(C)C)(C)C
5865695,CCNC(=S)/N=C(/NC1=CC=CC=C1)\NC2=NC(=CC(=N2)C)C
17427318,CC1=C(C(=CC=C1)C(=O)NC2=C(C=CC(=C2)Cl)N3C=NC=N3)[N+](=O)[O-]
4539,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
4908437,CSC1=NC=C(C(=N1)C(=O)NCC2=CN=CC=C2)Cl
5044535,C1CCC(=NCC1)NS(=O)(=O)C2=CC=C(C=C2)Cl
16194615,CN1C2=C(C=CC(=C2SC1=NC(=O)C3COC4=CC=CC=C4O3)OC)OC
135427225,C1=CC=C(C=C1)C2=NC(=NC(=O)N2)C3=CC=CC=C3
3279941,C1=CC=C(C=C1)CS(=O)(=O)C2=CC(=CC(=C2C#N)[N+](=O)[O-])[N+](=O)[O-]
8072795,CC1=C(N(C2=NC=NC(=C12)NCCCN(C)C)CCC3=CC=CC=C3)C
766322,CCNC1=NC(=NC(=N1)OCC(=O)O)NCC
4410730,CN(CCOC1=CC=CC=C1)CC(COCC2=CC=CC=C2F)O
16398891,COC1=CC=CC(=C1)NC(=O)[C@@H]2CCC(=O)N2C3C4=CC=CC=C4C(=O)O3
4883241,CC1CN(CC(O1)C)C(=O)C2=CC=C(C=C2)OC3=CC=CC=C3
715564,CN(CC1=CC=CC=C1)C(=S)NC2=CN=CC=C2
2999849,CC1=CC2=C(C=C1)C(=CO2)CC(=O)OC(C)C(=O)NCC3=CC4=C(C=C3)OCO4
2794667,C1=CC(=CC(=C1)Cl)C2=NC(=CS2)C(=O)O
5309145,CC1=NN=C2N1N=C(C=C2)N3CCN(CC3)C(=O)C4=CC=CC=C4
1505773,CN1C(=CC(=O)N(C1=O)C)C(=O)NCCC2=CC=CC=C2
16196807,COC(=O)C[N+]1=CC=CC2=CC=CC=C21.[Cl-]
957800,CC1=CC=C(C=C1)C(=O)CS(=O)(=O)C
3720881,C1=CC(=CC=C1C2=NNN=N2)OCCOCCO
802308,CC1=C(C(=O)N(C(=O)N1C)C)C(=O)C2=CC=CC=C2
2812761,C1=CC=C(C=C1)NC(=O)NC2=NC3=CC=CC=C3C=C2
2976819,COC1=C(C=CC(=C1)[N+](=O)[O-])NC(=O)CN2CCCC2
67275,CC1=C(C=C(C=C1)Cl)NC(=O)C2=CC3=CC=CC=C3C=C2O
25252621,C1=CC(=C(C=C1Br)C(=O)N/N=C/C2=COC=C2)O
972417,C1=CC=NC(=C1)C2=CSC(=N2)NC3=CN=CC=C3
858301,CCOC1=CC=C(C=C1)NC2=NC(=C(S2)C(=O)OCC)C
3227346,CC1=NC2=NC=NN2C(=C1)N3CCCC(C3)C(=O)NC4=CC=C(C=C4)OC
9623815,CN(C)/C=N/S(=O)(=O)C1=CC=C(C=C1)Cl
16190334,C1COCCN1C2=NC3=NON=C3N=C2N4CCSCC4
2454027,CN1C(=NN=C1SCC(=O)NC2CC2)C3=CC=CC=C3OC
2985370,CC(C)OC1=CC=C(C=C1)C(=O)NCCCNC(=O)C2=CC=CC=N2
6460167,CN1CCN(CC1)C(=O)C2CC(=O)N(C2)C3=CC=C(C=C3)OC
2384731,COC1=CC=CC=C1NS(=O)(=O)C2=CC3=C(C=C2)OC(=S)N3
3369461,CN1C=C(C(=N1)C(=O)OCC(=O)NC2=CC(=CC=C2)Cl)Cl
2931904,CCC(C1=CC=CC=C1)C(=O)NC2=NC=C(C=C2)[N+](=O)[O-]
24687219,CCOC(=O)C1=C(NC(=O)NC1C)COC(=O)C2=C(C(=C(C=C2)OC)OC)OC
880293,CCCC1=NC(=NN1)SCC2=CC=C(C=C2)OCC
1086696,C1CN(C2=NC3=CC=CC=C3N21)C(=O)C4=CC(=CC=C4)Cl
1508616,C1=CC=C(C=C1)CN2C=CC(=N2)N
